	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
A1BG	28.3279984905207	27.0012656084131	28.5538296275444	24.2853076479548	20.6737147498771	19.615162515163
A1CF	0	0	0	0.0128694699594688	0	0
A2M	4.68985023040641	4.85740880303923	4.38973273167947	9.17025424439172	8.59317043472375	9.39499005354424
A2ML1	0	0.0438564921574329	0.0277770225019062	0.414684817727866	0.030270865916204	0.212000330260865
A2MP1	0	0	0	0	0	0
A3GALT2	0	0.261993890099348	0	0.127757376870891	0.113972594308415	0
A4GALT	11.3660659020031	13.9650152636741	13.0247335877853	31.256165457195	29.1868406191353	29.1562213474891
A4GNT	0.0795653521415104	0.0698296830094647	0.0554484298698745	0.0679026092351657	0	0
AAAS	33.4356063980049	38.010898174857	37.3118146637603	34.0187542286084	29.2810526375118	30.3075179332886
AACS	24.7488721483959	28.5230893567353	28.8872908704978	33.8051104675102	30.6243834696692	33.3234202864111
AACSP1	0.0480468261012427	0.126496684950116	0	0	0	0
AADAC	0.463424727911635	0.0759454012222909	0.482733457219136	1.19433536898841	1.065756284726	1.68930738059109
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0.0227076677015
AADACL4	0	0	0	0	0	0
AADACP1	0.114210312473932	0.406084877768219	0.0795283732859489	0.789269678093449	0.886501581835772	0.459868844451338
AADAT	5.73189089496189	6.80218492248243	6.83253708786845	10.6954828618045	10.1140502977581	12.0821722124842
AAGAB	45.1810865507993	36.2326083604418	43.1356161610607	28.6814916914076	31.8317045777884	30.2873115682361
AAK1	37.9660981199752	43.3197932136769	35.3563344507813	25.7140447229881	24.2171080761453	20.9126799998217
AAMDC	48.8700070461547	61.0870982153682	61.7440005393606	83.7230852497787	88.3042478171983	81.4509283490801
AAMP	105.981373670393	98.4188848019084	101.358955898382	119.861782967378	113.732698856198	117.232898030053
AANAT	0.20326298890075	0.361381926953702	0.141247448638437	0.0623565841892294	0.0556198328362918	0
AAR2	29.241061300764	28.9919900228862	29.6111367711214	29.1128963998145	29.3436287446787	28.4979240297197
AARD	0	0.0525192265570564	0.194578622499285	0	0.296988499458218	0
AARS	97.588717280576	87.8980325877561	90.733346237581	52.8724094627336	53.8713356270044	51.5149390367262
AARS2	9.376911577936	9.2315675288112	9.46475565488779	5.09233514702007	5.45142876299021	5.14039761852659
AARSD1	52.6576974017356	46.4790417810906	44.9759485331313	31.3228395971949	34.6839778284225	31.7939267616982
AARSP1	0	0	0	0	0	0
AASDH	5.05159417913074	4.2596094549753	4.21093305077974	4.32219176830958	4.27389649544688	3.77125516177133
