	a	b	c	d
ENST00000262354	0	0	0	0
ENST00000269844	0	0	0	0
ENST00000270112	467.105298459306	772.470652843626	467.105298459306	772.470652843626
ENST00000270139	553.476457962377	770.08251307012	553.476457962377	770.08251307012
ENST00000270142	8807.66890206581	5335.95146520789	8807.66890206581	5335.95146520789
ENST00000270162	837.24752775615	0	837.24752775615	0
ENST00000270172	0	0	0	0
ENST00000270190	1730.63593764499	0	1730.63593764499	0
ENST00000282964	0	0	0	0
ENST00000284878	382.60750970249	286.082608021534	382.60750970249	286.082608021534
ENST00000284881	666.443493838378	251.804246927587	666.443493838378	251.804246927587
ENST00000284885	0	0	0	0
ENST00000284894	514.118896060689	192.204313428219	514.118896060689	192.204313428219
ENST00000284971	0	1979.4052854307	0	1979.4052854307
ENST00000284984	0	0	0	0
ENST00000284987	0	0	0	0
ENST00000285667	0	0	0	0
ENST00000285670	0	0	0	0
ENST00000285679	0	0	0	0
ENST00000285681	394.740147805477	576.016744623378	394.740147805477	576.016744623378
ENST00000286777	0	0	0	0
ENST00000286788	0	0	0	0
ENST00000286791	0	0	0	0
ENST00000286800	359.471209383685	235.689581341636	359.471209383685	235.689581341636
ENST00000286808	0	0	0	0
ENST00000286827	1275.14407535301	0.000348448235550388	1275.14407535301	0.000348448235550388
ENST00000286835	0.0830861461403679	0.0988384082404102	0.0830861461403679	0.0988384082404102
ENST00000288319	0	0	0	0
ENST00000288344	0	0	0	0
ENST00000288350	0	0	0	0
ENST00000288383	0	0	0	0
ENST00000290130	1107.57076700923	1241.99249029215	1107.57076700923	1241.99249029215
ENST00000290155	0	0.0133884947446264	0	0.0133884947446264
ENST00000290178	0	0	0	0
ENST00000290200	1300.83380360247	1458.78854055334	1300.83380360247	1458.78854055334
ENST00000290219	0	0	0	0
ENST00000290239	0	0	0	0
ENST00000290244	0	0	0	0
ENST00000290299	6168.90277700991	12566.3869869916	6168.90277700991	12566.3869869916
ENST00000290310	0	992.323754522731	0	992.323754522731
ENST00000290349	0	777.589000920119	0	777.589000920119
ENST00000290354	0	0	0	0
ENST00000290399	0	0	0	0
ENST00000291525	0	0	0	0
ENST00000291526	0	0	0	0
ENST00000291527	0	0	0	0
ENST00000291532	0	0	0	0
ENST00000291535	0	0	0	0
ENST00000291536	617.769654085904	692.726477892296	617.769654085904	692.726477892296
ENST00000291539	0	0	0	0
ENST00000291547	1086.59243011436	1042.18282159931	1086.59243011436	1042.18282159931
ENST00000291552	3768.52561524215	3712.08200923546	3768.52561524215	3712.08200923546
ENST00000291554	0	0	0	0
ENST00000291560	851.964397666642	955.597779670133	851.964397666642	955.597779670133
ENST00000291565	0.000167594767380899	420.844300767892	0.000167594767380899	420.844300767892
ENST00000291568	2429.50943595738	3643.96336895697	2429.50943595738	3643.96336895697
ENST00000291572	1130.33158549477	0	1130.33158549477	0
ENST00000291574	0	0	0	0
ENST00000291576	2.43377298397341	1.34284363982874	2.43377298397341	1.34284363982874
ENST00000291577	0	0	0	0
ENST00000291582	0	835.216135361615	0	835.216135361615
ENST00000291592	953.11446336433	2137.97502271591	953.11446336433	2137.97502271591
ENST00000291634	0	0	0	0
ENST00000291670	0	0	0	0
ENST00000291672	0	408.582186426227	0	408.582186426227
ENST00000291688	380.892732315033	1220.47913590309	380.892732315033	1220.47913590309
ENST00000291691	0	0	0	0
ENST00000291700	0	0	0	0
ENST00000291705	0	0	0	0
ENST00000299295	0	0	0	0
ENST00000299340	0	0	0	0
ENST00000299443	0	0	0	0
ENST00000300255	0	0	0	0
ENST00000300258	0	0	0	0
ENST00000300260	0	1097.0524248811	0	1097.0524248811
ENST00000300278	0	0	0	0
ENST00000300305	0	0	0	0
ENST00000300481	0	0	0	0
ENST00000300482	0	0	0	0
